127.0.0.1 - - [23/Mar/2022:11:14:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:14:42 +0900] "GET /j/airQuality.jsp HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:14:42 +0900] "GET /j/jQuery/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:14:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:14:43 +0900] "GET /j/airInfo01.jsp HTTP/1.1" 200 25049
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:16:47 +0900] "GET /j/airQuality.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:16:47 +0900] "GET /j/jQuery/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:16:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:16:49 +0900] "GET /j/airInfo01.jsp HTTP/1.1" 200 25049
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:17:42 +0900] "GET /j/airQuality.jsp HTTP/1.1" 200 1621
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:17:42 +0900] "GET /j/jQuery/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:17:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2022:11:17:44 +0900] "GET /j/airInfo01.jsp HTTP/1.1" 200 25049
