127.0.0.1 - - [03/Jan/2022:14:11:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:11:12 +0900] "GET /01_HTML5/html04/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:11:12 +0900] "GET /01_HTML5/html04/img01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:11:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:12:38 +0900] "GET /01_HTML5/html04/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:15:47 +0900] "GET /01_HTML5/html04/NewFile1.html HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:15:47 +0900] "GET /01_HTML5/html04/img01.png HTTP/1.1" 200 10014
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:15:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:16:42 +0900] "GET /01_HTML5/html04/NewFile2.html HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:16:45 +0900] "GET /01_HTML5/html04/NewFile2.html?name=%ED%99%8D%EA%B8%B8%EB%8F%99 HTTP/1.1" 200 1119
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:31:38 +0900] "GET /01_HTML5/html04/%EC%9E%85%EB%A0%A5%ED%98%95%EC%8B%9D.html HTTP/1.1" 200 812
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:31:53 +0900] "GET /01_HTML5/html04/%EC%9E%85%EB%A0%A5%ED%98%95%EC%8B%9D.html HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [03/Jan/2022:14:31:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:31:09 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:32:53 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:32:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:33:59 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:33:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:36:08 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:36:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:36:46 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:36:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:37:22 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:37:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:39:15 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:39:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:42:07 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:45:35 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:45:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:47:54 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:47:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:56:11 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:56:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:57:28 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:57:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:58:01 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3437
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:58:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:58:15 +0900] "GET /01_HTML5/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [03/Jan/2022:16:58:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:36:07 +0900] "GET /001_HTML5/htmlcss_ex05/html_css_5_1_ex1.html HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:40:38 +0900] "GET /01_HTML5/html05/NewFile.html HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:41:55 +0900] "GET /01_HTML5/html05/NewFile.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:41:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:44:08 +0900] "GET /01_HTML5/html05/NewFile.html HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:47:11 +0900] "GET /01_HTML5/html05/NewFile.html HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:49:32 +0900] "GET /01_HTML5/html05/NewFile.html HTTP/1.1" 304 -
