127.0.0.1 - - [14/Jan/2022:09:32:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:32:15 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:32:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:34:56 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2446
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:34:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:36:40 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:37:39 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:05 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:17 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:31 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2685
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:43 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2683
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:38:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Jan/2022:09:39:03 +0900] "GET /00_mini_project/mini_project_07/mini_project_07_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2699
