127.0.0.1 - - [21/Jan/2022:10:31:10 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:31:11 +0900] "GET /003_javascript/chapter03/97_gugudan_1.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:31:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:33:26 +0900] "GET /03_javascript/chapt03/NewFile15.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:35:15 +0900] "GET /03_javascript/chapt03/NewFile15.html HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:36:01 +0900] "GET /03_javascript/chapt03/NewFile15.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:36:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:37:03 +0900] "GET /03_javascript/chapt03/NewFile15.html HTTP/1.1" 200 525
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:38:34 +0900] "GET /003_javascript/chapter03/97_gugudan_3_1.html HTTP/1.1" 200 544
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:38:38 +0900] "GET /003_javascript/chapter03/97_gugudan_3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:38:39 +0900] "GET /003_javascript/chapter03/97_gugudan_3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:38:41 +0900] "GET /003_javascript/chapter03/97_gugudan_3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:41:11 +0900] "GET /03_javascript/chapt03/NewFile16.html HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:42:44 +0900] "GET /03_javascript/chapt03/NewFile16.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [21/Jan/2022:10:43:41 +0900] "GET /03_javascript/chapt03/NewFile16.html HTTP/1.1" 200 549
