127.0.0.1 - - [13/Jan/2022:10:26:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:26:38 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:26:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:31:01 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:31:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:31:02 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:31:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:32:52 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:32:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:33:24 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:34:40 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1813
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:34:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:37:05 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:37:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:38:49 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:38:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:17 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2256
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:52 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2332
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:40:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:35 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:59 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:41:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:45:56 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:45:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:47:38 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:47:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:48:02 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2765
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:48:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:49:07 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2797
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:49:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:50:30 +0900] "GET /00_mini_project/mini_project_06/mini_project_06_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2932
0:0:0:0:0:0:0:1 - - [13/Jan/2022:10:50:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
