127.0.0.1 - - [21/Feb/2022:15:27:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/index.html HTTP/1.1" 200 2723
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/js/index.js HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/css/index.css HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/mando.jpg HTTP/1.1" 200 142538
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/dragonball.jpg HTTP/1.1" 200 838606
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/spider_man.jpg HTTP/1.1" 200 79987
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/gundam.jpg HTTP/1.1" 200 389262
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/dark_knight.jpg HTTP/1.1" 200 64249
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/The_Mandalorian.svg.png HTTP/1.1" 200 7604
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/dragonball_logo.png HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/Spider_Man_Logo.png HTTP/1.1" 200 12401
0:0:0:0:0:0:0:1 - - [21/Feb/2022:15:27:20 +0900] "GET /002_CSS3/last_project/last_project_%EA%B3%A0%EB%B6%80%EA%B4%91/img/gumdam_logo.png HTTP/1.1" 200 12882
