127.0.0.1 - - [10/Jan/2022:11:52:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:52:48 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:52:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:56:21 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [10/Jan/2022:11:58:04 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1708
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:00:29 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1823
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:02 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:02 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:03 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:03 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:04 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:04 +0900] "GET /00_mini_project/mini_project_04/mini_project_04_sample.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [10/Jan/2022:12:01:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
