127.0.0.1 - - [25/Jan/2022:14:23:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:23:59 +0900] "GET /00_mini_project/mini_project_27/NewFile.html HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:24:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:24:03 +0900] "GET /00_mini_project/mini_project_27/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:24:08 +0900] "GET /00_mini_project/mini_project_27/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:24:11 +0900] "GET /00_mini_project/mini_project_27/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:37:06 +0900] "GET /00_mini_project/mini_project_27/NewFile1.html HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:37:09 +0900] "GET /00_mini_project/mini_project_27/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:37:12 +0900] "GET /00_mini_project/mini_project_27/NewFile1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:41:39 +0900] "GET /03_javascript/chapt06/NewFile4.html HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:42:08 +0900] "GET /03_javascript/chapt06/NewFile4.html HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:42:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:44:23 +0900] "GET /03_javascript/chapt06/NewFile4.html HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:45:49 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:46:15 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:46:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:47:05 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:47:14 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:47:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:48:23 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:48:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:49:06 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:49:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:49:54 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:50:31 +0900] "GET /03_javascript/chapt06/NewFile5.html HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [25/Jan/2022:14:50:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:08:29 +0900] "GET /03_javascript/chapt06/NewFile4.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:09:03 +0900] "GET /03_javascript/chapt06/NewFile4.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:09:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:12 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:14 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:14 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:32 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:12:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:15:07 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:16:26 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:16:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:23:57 +0900] "GET /03_javascript/chapt06/NewFile6.html HTTP/1.1" 200 1322
0:0:0:0:0:0:0:1 - - [25/Jan/2022:15:23:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:28:29 +0900] "GET /03_javascript/chapt06/NewFile7.html HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:28:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:36:05 +0900] "GET /03_javascript/chapt06/NewFile7.html HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:36:24 +0900] "GET /03_javascript/chapt06/NewFile7.html HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:36:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:38:07 +0900] "GET /003_javascript/chapter06%E2%98%85/138_reg_ob2%E2%98%85.html HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:39:16 +0900] "GET /00_mini_project/member_login_sample/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:39:16 +0900] "GET /00_mini_project/member_login_sample/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:39:16 +0900] "GET /00_mini_project/member_login_sample/js/signup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:16:39:31 +0900] "GET /00_mini_project/member_login_sample/loginCheck.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:00:20 +0900] "GET /03_javascript/chapt06/NewFile10.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:19:45 +0900] "GET /03_javascript/chapt06/NewFile11.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:23:00 +0900] "GET /03_javascript/chapt06/NewFile11.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:23:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:23:19 +0900] "GET /03_javascript/chapt06/NewFile11.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:23:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:13 +0900] "GET /003_javascript/chapter06%E2%98%85/147_win_ob1.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:20 +0900] "GET /003_javascript/chapter06%E2%98%85/147_win_ob1.html HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:20 +0900] "GET /003_javascript/chapter06%E2%98%85/147_winpopup.html HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:20 +0900] "GET /003_javascript/chapter06%E2%98%85/images/window_object_1.jpg HTTP/1.1" 200 54459
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:28 +0900] "GET /003_javascript/chapter06%E2%98%85/147_win_ob2%E2%98%85.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:28 +0900] "GET /003_javascript/chapter06%E2%98%85/147_win_close.html HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:50 +0900] "GET /003_javascript/chapter06%E2%98%85/150_scr_ob1.html HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:24:59 +0900] "GET /003_javascript/chapter06%E2%98%85/151_win_ob2.html HTTP/1.1" 200 1308
