127.0.0.1 - - [12/Jan/2022:09:32:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:32:18 +0900] "GET /02_CSS3/css12/NewFile6.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:32:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:32:39 +0900] "GET /02_CSS3/css12/NewFile6.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:32:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:33:17 +0900] "GET /02_CSS3/css12/html_css_12_3_ex1_sample.html HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:34:42 +0900] "GET /02_CSS3/css12/html_css_12_4_ex5_sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:06 +0900] "GET /00_mini_project/hamberger_button/index.html HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/hamberger_menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/js/base.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/images/logo_s.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/images/mnb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/images/top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:25 +0900] "GET /00_mini_project/hamberger_button/images/c01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/story.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/c02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/c03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t00.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/t01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/f_icon01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/t1.daumcdn.net/kas/static/ba.min.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/f_icon03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/f_icon04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/f_icon02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/f_icon05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/visual.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/title_l.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/css/main_t.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/title_r.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/css/main_m.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:35:26 +0900] "GET /00_mini_project/hamberger_button/t1.daumcdn.net/kas/static/ba.min.js HTTP/1.1" 404 895
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:37:32 +0900] "GET /002_CSS3/htmlcss_ex13/html_css_13_2_ex1.html HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [12/Jan/2022:09:37:32 +0900] "GET /002_CSS3/htmlcss_ex13/prefixfree.min.js HTTP/1.1" 200 6705
