127.0.0.1 - - [07/Jan/2022:15:12:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:12:53 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:12:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:17:22 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:17:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:18:39 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:18:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:19:42 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2113
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:21:27 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:21:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:22:04 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:22:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:22:17 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:22:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:23:13 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:23:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:24:19 +0900] "GET /02_CSS3/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3468
0:0:0:0:0:0:0:1 - - [07/Jan/2022:15:24:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
