127.0.0.1 - - [24/Jan/2022:14:23:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:23:57 +0900] "GET /00_mini_project/mini_project_03/mini_project_03_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:23:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:24:30 +0900] "GET /00_mini_project/mini_project_01/mini_project_01_%ED%99%8D%EA%B8%B8%EB%8F%99.html HTTP/1.1" 200 3472
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:25:18 +0900] "GET /00_mini_project/member_login_sample/signup_id.html HTTP/1.1" 200 7035
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:25:41 +0900] "GET /00_mini_project/member_login_sample/signup.html HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:25:41 +0900] "GET /00_mini_project/member_login_sample/css/signup.css HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:25:41 +0900] "GET /00_mini_project/member_login_sample/js/signup.js HTTP/1.1" 200 15134
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:25:48 +0900] "GET /00_mini_project/member_login_sample/loginCheck.json HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:28:19 +0900] "GET /003_javascript/chapter05%E2%98%85/219_event_1.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:32:37 +0900] "GET /03_javascript/chapt05/NewFile.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:32:50 +0900] "GET /03_javascript/chapt05/NewFile.html HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:32:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:33:54 +0900] "GET /03_javascript/chapt05/NewFile.html HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:33:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:37:23 +0900] "GET /03_javascript/chapt05/NewFile.html HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:39:30 +0900] "GET /03_javascript/chapt05/NewFile.html HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [24/Jan/2022:14:39:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
